prenom,nom,annee_bac,email
Martin,Martin,2020,martin@martin.fr
Thérèse-Simone,Lejeune,1989,therese.lejeune@mail.fr
René,Coste,2007,rcoste@mail.cz
Nicolas,Turpin-Chauvin,1904,nico.turpin@mail.bh
Victor,Gallet,1931,vivitropic@mail.ki
Sylvain,Durif,2077,christ.cosmique@mail.neptune
Aurélie,Julien,1943,aure.julien@mail.ar
Michel,Dupont,2010,jean.dupont@mail.fr
Franck,Regnier-Gros,1978,xXx_darksasuke_du25_xXx@fortnite.kikou
Patrick,Lamy,1912,alors.on.attend@pas.patrick
Franck,Ribéry,2001,francky@mail.de
Claire,Riviere,1962,auclairedelalune@monami.pierrot
Alexandre,Dumas,2000,alex.dumas@mail.fr
Martin,Dufour-Weiss,2022,cuissonApoint@cuisine.fr
Matthieu,Dupuy,1944,matthieu.dupuy@mail.zw
Samuelu,Teo,1996,samuelu.teo@mail.tv
Henri,Dupond,1999,jean.dupond@mail.fr
Albert,Camus,1900,albert@discours.se
